Name,ID,Value,Value last updated,DOB,Age,Height (m),Nationality,Citizenship,Position,Other positions,Team,Last club,Since,Joined,Contract expiration,Market value history,Transfer history
Rômulo,687359,€5.00m,"Dec 29, 2025","Mar 1, 2000",25,1.81,Brazil,[],Defensive Midfield,,Tigres UANL,,,"Jan 26, 2025","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Ricardo Ryller,349443,€650k,"Dec 10, 2025","Feb 27, 1994",31,1.84,Brazil,['Brazil'],Defensive Midfield,"                  0
0  Central Midfield
1    Right Midfield",Without Club,EC Vitória,"Jan 1, 2026",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Rodrigo Nestor,468304,€7.00m,"Dec 10, 2025","Aug 9, 2000",25,1.75,Brazil,['Brazil'],Central Midfield,"                    0
0  Attacking Midfield
1  Defensive Midfield",EC Bahia,,,"Jan 1, 2026","Dec 31, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Nikão,149572,€500k,"Dec 9, 2025","Jul 29, 1992",33,1.74,Brazil,['Brazil'],Attacking Midfield,"              0
0  Right Winger
1   Left Winger",GD GZ-Power,,,"Feb 13, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Luciano Rodríguez,856143,€10.00m,"Dec 18, 2025","Jul 16, 2003",22,1.79,Uruguay,[],Centre-Forward,,NEOM SC,,,"Sep 10, 2025","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Jorginho,155470,,,"Jan 5, 1991",35,1.8,Brazil,[],Attacking Midfield,,Figueirense FC,,,"Jan 1, 2026",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Lucas Sasha,121986,€200k,"Dec 10, 2025","Mar 1, 1990",35,1.77,Brazil,[],Defensive Midfield,,Fortaleza,,,"Jul 18, 2022","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Pablo,1083887,€50k,"Dec 10, 2025","Feb 11, 2003",22,1.88,Brazil,['Brazil'],Goalkeeper,,Vasco da Gama,,,"Jan 1, 2024",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Vanderlan,816129,€3.50m,"Dec 10, 2025","Sep 7, 2002",23,1.83,Brazil,['Brazil'],Left-Back,"               0
0  Left Midfield
1    Centre-Back",RB Bragantino,,,"Aug 13, 2025","Dec 31, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Hugo Moura,644157,€1.80m,"Dec 10, 2025","Jan 3, 1998",28,1.77,Brazil,[],Defensive Midfield,,Vasco da Gama,,,"Jan 1, 2025","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Emmanuel Martínez,360526,€1.20m,"Dec 10, 2025","Jun 4, 1994",31,1.69,Argentina,[],Attacking Midfield,,Without Club,Fortaleza,"Jan 20, 2026",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Matías Viña,439072,€4.00m,"Dec 10, 2025","Nov 9, 1997",28,1.8,Uruguay,"['Uruguay', 'Italy']",Left-Back,"               0
0  Left Midfield",River Plate,,,"Jan 14, 2026","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Maycon Cleiton,723168,€150k,"Dec 22, 2025","Nov 8, 1998",27,1.91,Brazil,[],Goalkeeper,,Portimonense,,,"Jan 16, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Rubens,997465,€100k,"Nov 24, 2025","Mar 28, 2003",22,,Brazil,['Brazil'],Right Winger,"                    0
0         Left Winger
1  Attacking Midfield",Chapecoense,,,"Jan 1, 2025","Nov 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Walisson Maia,188715,€25k,"Nov 24, 2025","Aug 21, 1991",34,1.87,Brazil,['Brazil'],Centre-Back,,Vila Nova FC,,,"Jan 1, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
João Neto,564919,,,"May 21, 2003",22,1.86,Brazil,[],Central Midfield,,RB Bragantino,,,"Sep 2, 2024","Aug 31, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Paulinho,57229,,,"Jul 25, 1988",37,1.83,Brazil,[],Central Midfield,,Retired,Corinthians,"Jul 1, 2024",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Gabriel Moscardo,1086636,€7.00m,"Dec 18, 2025","Sep 28, 2005",20,1.85,Brazil,['Brazil'],Defensive Midfield,,Braga,,,"Jul 19, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Roni,725049,€1.00m,"Dec 10, 2025","Apr 15, 1999",26,1.74,Brazil,['Brazil'],Defensive Midfield,"                  0
0  Central Midfield",Avs FS,,,"Jan 6, 2026","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Vitor Hugo,149752,€600k,"Dec 10, 2025","May 20, 1991",34,1.87,Brazil,['Brazil'],Centre-Back,,Atlético-MG,,,"Jan 9, 2026","Dec 31, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Carbone,1221548,,,"Jan 29, 2005",20,1.87,Brazil,['Brazil'],Centre-Back,"           0
0  Left-Back",Flamengo U20,,,"Jan 1, 2023",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Osvaldo,76191,€100k,"Dec 10, 2025","Apr 11, 1987",38,1.7,Brazil,['Brazil'],Right Winger,"                0
0     Left Winger
1  Second Striker",EC Vitória,,,"Jan 1, 2023","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Sergio Rochet,264014,€2.00m,"Dec 10, 2025","Mar 23, 1993",32,1.9,Uruguay,"['Uruguay', 'Italy']",Goalkeeper,,Internacional,,,"Jul 13, 2023","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Agustín Canobbio,457533,€6.00m,"Dec 10, 2025","Oct 1, 1998",27,1.75,Uruguay,"['Uruguay', 'Italy']",Left Winger,"                    0
0        Right Winger
1  Attacking Midfield",Fluminense,,,"Jan 10, 2025","Dec 31, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Vitinho,670965,€5.00m,"Dec 10, 2025","Apr 1, 1999",26,1.8,Brazil,[],Left Winger,,Internacional,,,"Jan 10, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Gabriel Souza,994229,,,"Aug 3, 2004",21,1.94,Brazil,"['Brazil', 'Italy']",Goalkeeper,,Santa Cruz-PE,,,"Jan 1, 2026",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Rildo,800177,€750k,"Dec 8, 2025","Jan 21, 2000",26,1.78,Brazil,['Brazil'],Attacking Midfield,"              0
0  Right Winger
1   Left Winger",Levski Sofia,,,"Jul 1, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Ricardo Mathias,1044132,€9.00m,"Dec 10, 2025","Jul 25, 2006",19,1.92,Brazil,['Brazil'],Centre-Forward,,Al-Ahli,,,"Jan 4, 2026","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Richard Ríos,735573,€22.00m,"Dec 18, 2025","Jun 2, 2000",25,1.87,Colombia,['Colombia'],Defensive Midfield,"                  0
0  Central Midfield",Benfica,,,"Jul 22, 2025","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Gabriel,213606,€1.00m,"Dec 10, 2025","Jul 10, 1992",33,1.71,Brazil,"['Brazil', 'Italy']",Defensive Midfield,"                  0
0  Central Midfield",RB Bragantino,,,"Jan 15, 2025","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Thiago Heleno,45431,€200k,"Nov 24, 2025","Sep 17, 1988",37,1.87,Brazil,[],Centre-Back,,Paysandu,,,"Jun 5, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Adriano Martins,739272,€700k,"Nov 24, 2025","Apr 1, 1997",28,1.93,Brazil,['Brazil'],Centre-Back,,Atlético-GO,,,"Jan 5, 2024","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Clayton,733579,€8.00m,"Dec 18, 2025","Jan 11, 1999",27,1.84,Brazil,['Brazil'],Centre-Forward,,Rio Ave,,,"Jul 1, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Marcelinho,813120,€900k,"Nov 28, 2025","Dec 11, 2002",23,1.64,Brazil,['Brazil'],Right Winger,"             0
0  Left Winger",Al-Dhafra FC,,,"Jul 28, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Max,1226150,€200k,"Nov 24, 2025","Jun 28, 2002",23,1.84,Brazil,['Brazil'],Right Winger,"                0
0     Left Winger
1  Second Striker",Athletic,,,"Apr 4, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Victão,841910,,,"Feb 11, 2004",21,,Brazil,['Brazil'],Centre-Back,,Pouso Alegre,,,"Jan 1, 2025","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Manuel Capasso,653152,€600k,"Dec 2, 2025","Apr 19, 1996",29,1.88,Argentina,"['Italy', 'Argentina']",Centre-Back,"            0
0   Left-Back
1  Right-Back",Atlas,,,"Jan 1, 2026","Dec 31, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Yerson Candelo,158333,€250k,"Dec 5, 2025","Feb 24, 1992",33,1.7,Colombia,[],Right-Back,,Without Club,CD América,"Jan 1, 2026",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Kayque,813037,€500k,"Nov 28, 2025","Jul 12, 2000",25,1.76,Brazil,[],Defensive Midfield,,FC Baniyas,,,"Aug 7, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Kayke,1082700,€800k,"Dec 10, 2025","Apr 28, 2004",21,1.76,Brazil,['Brazil'],Left Winger,"                    0
0  Attacking Midfield
1        Right Winger",Corinthians,,,"Jan 1, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Yago,1227689,,,"Feb 5, 2006",19,1.78,Brazil,['Brazil'],Defensive Midfield,,Corinthians U20,,,"Jan 1, 2024",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Mayk,603423,€500k,"Nov 24, 2025","Aug 31, 1999",26,1.72,Brazil,['Brazil'],Left-Back,,Novorizontino,,,"Jun 11, 2025","Jul 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Nino,520454,€10.00m,"Dec 16, 2025","Apr 10, 1997",28,1.88,Brazil,['Brazil'],Centre-Back,,Zenit S-Pb,,,"Jan 4, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Luciano Juba,676035,€11.00m,"Dec 10, 2025","Aug 29, 1999",26,1.76,Brazil,[],Left-Back,,EC Bahia,,,"Sep 1, 2023","Dec 31, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Gonzalo Mastriani,195882,€1.20m,"Dec 10, 2025","Apr 28, 1993",32,1.82,Uruguay,"['Uruguay', 'Italy']",Centre-Forward,"                0
0  Second Striker
1     Left Winger",Athletico-PR,,,"Jan 29, 2024","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Germán Cano,54590,€600k,"Dec 10, 2025","Jan 2, 1988",38,1.76,Argentina,[],Centre-Forward,,Fluminense,,,"Jan 13, 2022","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Caio Barone,1087860,,,"May 4, 2006",19,1.96,Brazil,"['Brazil', 'Italy']",Goalkeeper,,Celta Fortuna,,,"Jul 16, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Iury Castilho,366450,€750k,"Nov 24, 2025","Sep 6, 1995",30,1.85,Brazil,['Brazil'],Centre-Forward,"                0
0  Second Striker
1     Left Winger",Coritiba FC,,,"Jun 1, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Hyoran,338861,€700k,"Dec 10, 2025","May 25, 1993",32,1.74,Brazil,['Brazil'],Attacking Midfield,"              0
0   Left Winger
1  Right Winger",Internacional,,,"Jan 8, 2024","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Rafinha,33947,,,"Sep 7, 1985",40,1.72,Brazil,"['Brazil', 'Germany']",Right-Back,"           0
0  Left-Back",Retired,Coritiba FC,"Apr 8, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Ronald,688684,€700k,"Dec 10, 2025","Jun 18, 1997",28,1.71,Brazil,['Brazil'],Defensive Midfield,"                    0
0    Central Midfield
1  Attacking Midfield",EC Vitória,,,"Jan 5, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Thiago Borbas,743951,€4.00m,"Dec 10, 2025","Apr 7, 2002",23,1.86,Uruguay,[],Centre-Forward,,Real Oviedo,,,"Jan 2, 2026","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Willean Lepo,544464,€700k,"Nov 24, 2025","Jan 16, 1997",29,1.82,Brazil,['Brazil'],Right-Back,"                  0
0    Right Midfield
1  Central Midfield",Criciúma,,,"Jan 6, 2026","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Kayky Almeida,1089609,€800k,"Nov 24, 2025","May 1, 2005",20,1.85,Brazil,['Brazil'],Centre-Back,,Remo,,,"Jun 10, 2025","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Rafael Lima,1120188,,,"Mar 16, 2006",19,,Brazil,['Brazil'],Defensive Midfield,,Bragantino U20,,,-,-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Braian Aguirre,829378,€2.50m,"Dec 10, 2025","Jul 28, 2000",25,1.75,Argentina,['Argentina'],Right-Back,"                0
0       Left-Back
1  Right Midfield",Internacional,,,"Sep 2, 2024","Dec 31, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Pedro Rocha,362844,€1.50m,"Nov 24, 2025","Oct 1, 1994",31,1.75,Brazil,[],Left Winger,,Coritiba FC,,,"Jan 1, 2026","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Luiz Fernando,372013,€1.80m,"Nov 24, 2025","Oct 16, 1996",29,1.78,Brazil,[],Left Winger,,Athletico-PR,,,"Jan 1, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Emerson Junior,813038,,,"Feb 7, 2000",25,1.96,Brazil,[],Goalkeeper,,Inter Limeira,,,"Jan 1, 2026",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Lázaro,574772,€2.00m,"Dec 18, 2025","Mar 12, 2002",23,1.81,Brazil,['Brazil'],Left Winger,"                0
0    Right Winger
1  Centre-Forward",Al-Najma,,,"Sep 10, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Daniel Rogério,1087854,,,"Mar 12, 2005",20,1.73,Brazil,['Brazil'],Defensive Midfield,,Vila Nova U20,,,"Aug 14, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Jhon Jhon,964582,€11.00m,"Dec 10, 2025","Sep 9, 2002",23,1.78,Brazil,['Brazil'],Attacking Midfield,"                  0
0       Left Winger
1  Central Midfield",RB Bragantino,,,"Jul 15, 2024","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Riquelme,1219749,€6.00m,"Dec 10, 2025","Mar 13, 2007",18,1.75,Brazil,['Brazil'],Right Winger,"                    0
0         Left Winger
1  Attacking Midfield",Fluminense,,,"Jan 11, 2025","Aug 31, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Caio Araújo,1097927,,,"Jun 9, 2005",20,1.79,Brazil,['Brazil'],Central Midfield,"                    0
0  Attacking Midfield
1  Defensive Midfield",Santos U20,,,"Aug 1, 2024",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Isac,1096506,,,"Apr 2, 2006",19,1.86,Brazil,['Brazil'],Centre-Back,,São Paulo U20,,,"Feb 28, 2025","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Léo Realpe,656409,€4.00m,"Dec 18, 2025","Feb 26, 2001",24,1.86,Ecuador,[],Centre-Back,,Famalicão,,,"Jul 1, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Erick,515638,€1.50m,"Dec 10, 2025","Dec 10, 1997",28,1.73,Brazil,[],Right Winger,,EC Vitória,,,"Jan 1, 2026","Dec 31, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Jan Lucumi,909360,€500k,"Dec 5, 2025","Feb 11, 2004",21,1.78,Colombia,['Colombia'],Right Winger,"                0
0  Centre-Forward",CD América,,,"Jan 4, 2026","Dec 31, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Alix,880217,€1.00m,"Dec 10, 2025","Nov 6, 1999",26,1.95,Brazil,[],Centre-Back,,RB Bragantino,,,"Jan 6, 2026","Dec 31, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Alex Sandro,79960,€1.50m,"Dec 10, 2025","Jan 26, 1991",34,1.81,Brazil,['Brazil'],Left-Back,"               0
0  Left Midfield
1    Centre-Back",Flamengo,,,"Aug 26, 2024","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Zé Ivaldo,484848,€2.50m,"Dec 10, 2025","Feb 21, 1997",28,1.85,Brazil,[],Centre-Back,,Santos,,,"Jan 1, 2026",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Ronaldo,387925,€1.80m,"Dec 10, 2025","Aug 22, 1996",29,1.94,Brazil,[],Goalkeeper,,EC Bahia,,,"Jan 1, 2026","Dec 31, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Danilo Barbosa,273438,€2.20m,"Dec 18, 2025","Feb 28, 1996",29,1.83,Brazil,[],Defensive Midfield,,Al-Ula,,,"Aug 2, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Dorival,1097784,,,"Feb 6, 2004",21,1.85,Brazil,['Brazil'],Right-Back,"                    0
0  Defensive Midfield",Atlético-PB,,,"Jan 16, 2026",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
João Moreira,929866,€1.20m,"Dec 22, 2025","May 21, 2004",21,1.75,Brazil,"['Brazil', 'Portugal']",Right-Back,"                0
0  Right Midfield",FC Porto B,,,"Jan 31, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Gabriel Delfim,978121,€300k,"Dec 10, 2025","Jul 10, 2002",23,1.92,Brazil,[],Goalkeeper,,Atlético-MG,,,"Jan 1, 2022","Dec 31, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Renan Viana,869007,€225k,"Nov 24, 2025","Jan 31, 2003",22,1.89,Brazil,['Brazil'],Centre-Forward,"                0
0  Second Striker",Athletico-PR,,,"Jan 1, 2024","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Reinaldo,225617,€400k,"Dec 10, 2025","Sep 28, 1989",36,1.78,Brazil,['Brazil'],Left-Back,"               0
0  Left Midfield",Mirassol-SP,,,"Jan 6, 2025","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Fernandinho,26267,,,"May 4, 1985",40,1.79,Brazil,['Brazil'],Defensive Midfield,"                  0
0  Central Midfield
1       Centre-Back",Retired,Athletico-PR,"Nov 20, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Gary Medel,60889,€50k,"Dec 10, 2025","Aug 3, 1987",38,1.71,Chile,[],Centre-Back,,U. Católica,,,"Jan 9, 2025","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Tobias Figueiredo,122077,€750k,"Nov 24, 2025","Feb 2, 1994",31,1.88,Portugal,['Portugal'],Centre-Back,,Fortaleza,,,"Jul 11, 2023","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Lyanco,379807,€5.00m,"Dec 10, 2025","Feb 1, 1997",28,1.87,Brazil,[],Centre-Back,,Atlético-MG,,,"Jul 10, 2024","Dec 31, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Ademir,544259,€1.50m,"Dec 10, 2025","Feb 16, 1995",30,1.72,Brazil,[],Right Winger,,EC Bahia,,,"Apr 1, 2023","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Vitor Marinho,815670,,,"Jul 12, 2001",24,1.81,Brazil,['Brazil'],Right-Back,"                    0
0  Defensive Midfield
1           Left-Back",Anápolis,,,"Jan 1, 2026",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Léo Derik,1052819,€800k,"Nov 24, 2025","Jul 24, 2005",20,1.66,Brazil,['Brazil'],Left-Back,"               0
0  Left Midfield
1    Left Winger",Athletico-PR,,,"Jan 14, 2025","Dec 31, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Guilherme Romão,519879,€400k,"Nov 24, 2025","Oct 7, 1997",28,1.76,Brazil,[],Left-Back,,Atlético-GO,,,"Aug 15, 2024","Dec 31, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Fellipe Mateus,520470,€150k,"Nov 24, 2025","Feb 12, 1991",34,1.78,Brazil,['Brazil'],Attacking Midfield,"                  0
0  Central Midfield
1     Left Midfield",Criciúma,,,"May 26, 2021","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Lorran,1009030,€7.50m,"Dec 23, 2025","Jul 4, 2006",19,1.8,Brazil,['Brazil'],Attacking Midfield,"                  0
0  Central Midfield
1    Right Midfield",Pisa,,,"Sep 1, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Rafael Ratão,289802,€3.00m,"Dec 15, 2025","Nov 30, 1995",30,1.77,Brazil,['Brazil'],Left Winger,"                0
0  Second Striker
1    Right Winger",SH Shenhua,,,"Jan 1, 2026","Dec 31, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Bruno Tubarão,550178,€400k,"Dec 19, 2025","Mar 5, 1995",30,1.8,Brazil,[],Right Winger,,Persija,,,"Aug 19, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Allan,385271,€3.00m,"Dec 10, 2025","Mar 3, 1997",28,1.72,Brazil,['Brazil'],Defensive Midfield,"                  0
0  Central Midfield",Flamengo,,,"Jul 1, 2023","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Alan Kardec,53922,€150k,"Nov 24, 2025","Jan 12, 1989",37,1.9,Brazil,['Brazil'],Centre-Forward,,Athletico-PR,,,"Jan 14, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Gustavo Reis,1084069,,,"Jun 10, 2005",20,1.9,Brazil,['Brazil'],Goalkeeper,,Bragantino U20,,,-,"May 31, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Matheus Rossetto,445000,€1.50m,"Dec 10, 2025","Jun 3, 1996",29,1.8,Brazil,[],Central Midfield,,Fortaleza,,,"Feb 23, 2024","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Riquelme Carvalho,1122213,,,"Apr 25, 2005",20,,Brazil,['Brazil'],Left-Back,"             0
0  Left Winger",Vitória U20,,,-,-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Vitinho,834898,€125k,"Nov 10, 2025","Nov 11, 2004",21,1.78,Brazil,['Brazil'],Defensive Midfield,"                    0
0    Central Midfield
1  Attacking Midfield",Betim Futebol,,,"Jan 1, 2026","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Phillipe Gabriel,1005582,,,"Feb 23, 2006",19,1.96,Brazil,"['Brazil', 'Portugal']",Goalkeeper,,Vasco U20,,,"Jan 1, 2024",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Guillermo Varela,188862,€1.20m,"Dec 10, 2025","Mar 24, 1993",32,1.73,Uruguay,[],Right-Back,,Flamengo,,,"Jan 12, 2023","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Rildo,800177,€750k,"Dec 8, 2025","Jan 21, 2000",26,1.78,Brazil,[],Attacking Midfield,,Levski Sofia,,,"Jul 1, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Pablo,148765,€400k,"Dec 10, 2025","Jun 23, 1992",33,1.85,Brazil,[],Centre-Forward,,Sport Recife,,,"Feb 4, 2025","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Fintelman,740272,€100k,"Dec 10, 2025","Jul 20, 2001",24,1.95,Brazil,[],Goalkeeper,,EC Vitória,,,"Jan 1, 2024",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
